name,category_code,tag_list,description,total_money_raised,offices,currency,city,country_code
Playfish,games_video,"social-gaming, social-games, social-networks, facebook, myspace, widgets, applications",Social games company,21.0,"[{'description': 'Corporate Headquarters', 'address1': '125 Kensington High St', 'address2': 'W8 5SF', 'zip_code': 'London', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.4991094, 'longitude': -0.1984802}, {'description': 'Playfish Arctic', 'address1': 'Strandvn. 106', 'address2': '', 'zip_code': '9291', 'city': 'TromsÃ¸', 'state_code': None, 'country_code': 'NOR', 'latitude': 69.636216, 'longitude': 18.931062}]",$,"London ,TromsÃ¸ ,",GBR NOR 
Quick Hit,sports,,"free, social sports games",19.0,"[{'description': '', 'address1': '16 Chestnut Street', 'address2': '', 'zip_code': '02035', 'city': 'Foxboro', 'state_code': 'MA', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",$,"Foxboro ,",USA 
Akoha,games_video,"techcrunch50, tc50",Multi-player game developer,19.0,"[{'description': None, 'address1': '3981 boul. St. Laurent', 'address2': 'Mezz 1', 'zip_code': 'H2W 1Y5', 'city': 'Montreal', 'state_code': None, 'country_code': 'CAN', 'latitude': 45.516545, 'longitude': -73.578477}]",$,"Montreal ,",CAN 
Geewa,games_video,"multiplayer-game, game, casual-game, flash-game, mobile, iptv, flash, prague, central-europe", casual competitive multiplayer games,18.0,"[{'description': 'World Headquarters', 'address1': 'Sokolovska 84', 'address2': '', 'zip_code': '18600', 'city': 'Prague 8', 'state_code': None, 'country_code': 'CZE', 'latitude': 50.0938491, 'longitude': 14.4505336}, {'description': 'Berlin Office', 'address1': 'August Strasse 88', 'address2': '', 'zip_code': '10117', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': None, 'longitude': None}]",€,"Prague 8 ,Berlin ,",CZE DEU 
PurePlay,games_video,"games, poker, online-poker",play-for-cash online poker game,15.0,"[{'description': None, 'address1': '', 'address2': '', 'zip_code': '', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.775196, 'longitude': -122.419204}]",$,"San Francisco ,",USA 
Avocado Entertainment,games_video,"social-game, mobile-game, social-and-mobile-game-publisher",Social & Mobile game publisher,15.0,"[{'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Seoul', 'state_code': None, 'country_code': 'KOR', 'latitude': None, 'longitude': None}]",$,"Seoul ,",KOR 
Curse,games_video,"mmo, curse",Online games media company,12.0,"[{'description': 'San Francisco', 'address1': '60 Broadway', 'address2': '', 'zip_code': '94111', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.787092, 'longitude': -122.399972}, {'description': 'Huntsville', 'address1': '150 West Park Loop NW', 'address2': '', 'zip_code': '35806', 'city': 'Huntsville', 'state_code': 'AL', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",$,"San Francisco ,Huntsville ,",USA USA 
Riot Games,games_video,,Video game developer,8.0,"[{'description': '', 'address1': '10736 Jefferson Blvd.', 'address2': '#622', 'zip_code': '90230', 'city': 'Culver City', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.0025911, 'longitude': -118.3942383}]",$,"Culver City ,",USA 
Three Rings,web,,Internet game developer,7.0,"[{'description': None, 'address1': '', 'address2': '', 'zip_code': '', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.775196, 'longitude': -122.419204}]",$,"San Francisco ,",USA 
WonderHill,games_video,, casual gaming,7.0,[],$,,
Moondo,games_video,,Online gaming world,6.0,[],$,,
Funtactix,games_video,,Web-based games,6.0,"[{'description': 'HQ', 'address1': '349 5TH AVE', 'address2': '', 'zip_code': '10016', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",$,"New York ,",USA 
Owlient,games_video,"game, hobby, browser, virtual-goods",Browser games & community services,3.6,"[{'description': 'Main Office', 'address1': '26-28 rue de ChambÃ©ry', 'address2': '', 'zip_code': '75015', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.8308091, 'longitude': 2.3032201}]",€,"Paris ,",FRA 
GREE,games_video,"mobile-web, japan, tokyo, social-network, mobile-social-network, mobile-games","Internet media business,SNS,  free game",3.4,"[{'description': 'Headquarters', 'address1': 'Roppongi-Hills Mori Tower, 6-10-1, Roppongi', 'address2': 'Minato-ku', 'zip_code': '106-0032', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]",¥,"Tokyo ,",JPN 
GamerDNA,web,"guildcafe, socialnetworks, mmorpg",Social networking for gamers,3.0,"[{'description': None, 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Cambridge', 'state_code': 'MA', 'country_code': 'USA', 'latitude': 42.375392, 'longitude': -71.118487}]",$,"Cambridge ,",USA 
Garena,web,global-gaming-community-multiplayer-sports-hub-social-gaming,Global online gaming community,2.0,"[{'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Singapore', 'state_code': None, 'country_code': 'SGP', 'latitude': None, 'longitude': None}, {'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Taipei', 'state_code': None, 'country_code': 'TWN', 'latitude': None, 'longitude': None}, {'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Hanoi', 'state_code': None, 'country_code': 'VNM', 'latitude': None, 'longitude': None}, {'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Ho Chi Minh City', 'state_code': None, 'country_code': 'VNM', 'latitude': None, 'longitude': None}]",$,"Singapore ,Taipei ,Hanoi ,Ho Chi Minh City ,",SGP TWN VNM VNM 
GotGame,games_video,"games, video-games, videos, gaming-videos, news, gaming-news, in-game, chat, communication, instant-messaging, voice-chat",Applications for in-game social media,1.0,"[{'description': 'GotGame HQ', 'address1': '1 Bluxome Place', 'address2': 'Suite 204', 'zip_code': '94107', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.77772, 'longitude': -122.395785}]",$,"San Francisco ,",USA 
EnterMedia,advertising,"in-game-advertising, games, online-games, advertising",In game advertising company,1.0,"[{'description': None, 'address1': 'Leningradsky Prospekt, 72, p. 4', 'address2': '', 'zip_code': '', 'city': 'Moscow', 'state_code': None, 'country_code': 'RUS', 'latitude': None, 'longitude': None}]",$,"Moscow ,",RUS 
